LinkID,Time,Speed
5414,929,7.9031
5414,978,7.9031
5414,1024,6.2832
5414,1068,10.8774
5414,1110,3.692
5414,1151,10.8774
5414,1194,18.3927
5414,1242,18.3927
5414,1293,18.3927
5414,1345,18.3927
5414,1396,18.3927
5415,45,26.7158
5415,369,26.7158
5415,406,26.7158
5415,442,23.0727
5415,477,23.0727
5415,513,23.0727
5415,550,22.0696
5415,588,22.0696
5415,626,23.0727
5415,664,23.0727
5415,704,23.0727
5415,722,24.1714
5415,745,26.7158
5415,788,26.7158
5415,839,26.7158
5415,886,15.8625
5415,929,22.0696
5415,978,22.0696
5415,1024,22.0696
5415,1068,19.5231
5415,1110,6.4253
5415,1151,19.5231
5415,1194,24.1714
5415,1242,24.1714
5415,1293,24.1714
5415,1345,24.1714
5415,1396,24.1714
5416,45,44.1
5416,369,52.92
5416,406,52.92
5416,442,44.1
5416,477,44.1
5416,513,44.1
5416,550,44.1
5416,588,44.1
5416,626,37.8
5416,664,37.8
5416,704,37.8
5416,722,44.1
5416,745,44.1
5416,788,44.1
5416,839,44.1
5416,886,37.8
5416,929,37.8
5416,978,37.8
5416,1024,37.8
5416,1068,33.075
5416,1110,21.168
5416,1151,33.075
5416,1194,44.1
5416,1242,44.1
5416,1293,44.1
5416,1345,44.1
5416,1396,44.1
5440,45,39.8118
5440,369,35.6211
5440,406,35.6211
5440,442,27.072
5440,477,27.072
5440,513,27.072
5440,550,22.56
5440,588,22.56
5440,626,16.5073
5440,664,16.5073
5440,704,16.5073
5440,722,30.7636
5440,745,17.8105
5440,788,17.8105
5440,839,17.8105
5440,886,23.3379
5440,929,4.9043
5440,978,23.3379
5440,1024,23.3379
5440,1068,20.5091
5440,1110,20.5091
5440,1151,20.5091
5440,1194,30.7636
5440,1242,30.7636
5440,1293,30.7636
5440,1345,30.7636
5440,1396,30.7636
5441,45,37.24
5441,369,40.3091
5441,406,31.4
5441,442,26.8211
5441,477,26.8211
5441,513,26.8211
5441,550,29.0373
